i	P	T
393	3.22849412E+00	2.24795781E+03
394	3.33426413E+00	2.24964928E+03
395	3.44349931E+00	2.25139217E+03
396	3.55631319E+00	2.25318792E+03
397	3.67282300E+00	2.25503801E+03
398	3.79314985E+00	2.25694393E+03
399	3.91741877E+00	2.25890725E+03
400	4.04575892E+00	2.26092952E+03
401	4.17830367E+00	2.26301237E+03
402	4.31519077E+00	2.26515744E+03
403	4.45656248E+00	2.26736640E+03
404	4.60256574E+00	2.26964097E+03
405	4.75335226E+00	2.27198291E+03
406	4.90907876E+00	2.27439399E+03
407	5.06990708E+00	2.27687604E+03
408	5.23600437E+00	2.27943092E+03
409	5.40754323E+00	2.28206051E+03
410	5.58470195E+00	2.28476674E+03
411	5.76766463E+00	2.28755157E+03
412	5.95662144E+00	2.29041700E+03
413	6.15176873E+00	2.29336506E+03
414	6.35330932E+00	2.29639782E+03
415	6.56145266E+00	2.29951738E+03
416	6.77641508E+00	2.30272586E+03
417	6.99841996E+00	2.30602544E+03
418	7.22769804E+00	2.30941832E+03
419	7.46448758E+00	2.31290672E+03
420	7.70903469E+00	2.31649292E+03
421	7.96159350E+00	2.32017921E+03
422	8.22242650E+00	2.32396791E+03
423	8.49180475E+00	2.32786138E+03
424	8.77000821E+00	2.33186201E+03
425	9.05732601E+00	2.33597220E+03
426	9.35405674E+00	2.34019440E+03
427	9.66050879E+00	2.34453106E+03
428	9.97700064E+00	2.34898468E+03
429	1.03038612E+01	2.35355778E+03
430	1.06414302E+01	2.35825288E+03
431	1.09900584E+01	2.36307254E+03
432	1.13501082E+01	2.36801933E+03
433	1.17219537E+01	2.37309586E+03
434	1.21059813E+01	2.37830473E+03
435	1.25025903E+01	2.38364856E+03
436	1.29121927E+01	2.38912999E+03
437	1.33352143E+01	2.39475168E+03
438	1.37720947E+01	2.40051628E+03
439	1.42232879E+01	2.40642647E+03
440	1.46892628E+01	2.41248491E+03
441	1.51705037E+01	2.41869430E+03
442	1.56675107E+01	2.42505730E+03
443	1.61808004E+01	2.43157662E+03
444	1.67109061E+01	2.43825492E+03
445	1.72583789E+01	2.44509489E+03
446	1.78237877E+01	2.45209921E+03
447	1.84077200E+01	2.45927054E+03
448	1.90107828E+01	2.46661155E+03
449	1.96336028E+01	2.47412488E+03
450	2.02768272E+01	2.48181318E+03
451	2.09411246E+01	2.48967906E+03
452	2.16271852E+01	2.49772513E+03
453	2.23357222E+01	2.50595398E+03
454	2.30674719E+01	2.51436817E+03
455	2.38231947E+01	2.52297026E+03
456	2.46036760E+01	2.53176277E+03
457	2.54097271E+01	2.54074819E+03
458	2.62421854E+01	2.54992899E+03
459	2.71019163E+01	2.55930762E+03
460	2.79898132E+01	2.56888647E+03
461	2.89067988E+01	2.57866795E+03
462	2.98538262E+01	2.58865438E+03
463	3.08318795E+01	2.59884809E+03
464	3.18419752E+01	2.60925134E+03
465	3.28851631E+01	2.61986638E+03
466	3.39625273E+01	2.63069541E+03
467	3.50751874E+01	2.64174059E+03
468	3.62242998E+01	2.65300404E+03
469	3.74110588E+01	2.66448786E+03
470	3.86366977E+01	2.67619407E+03
471	3.99024902E+01	2.68812468E+03
472	4.12097519E+01	2.70028166E+03
473	4.25598413E+01	2.71266691E+03
474	4.39541615E+01	2.72528230E+03
475	4.53941617E+01	2.73812968E+03
476	4.68813382E+01	2.75121082E+03
477	4.84172368E+01	2.76452748E+03
478	5.00034535E+01	2.77808135E+03
479	5.16416369E+01	2.79187410E+03
480	5.33334895E+01	2.80590734E+03
481	5.50807696E+01	2.82018266E+03
482	5.68852931E+01	2.83470159E+03
483	5.87489353E+01	2.84946563E+03
484	6.06736330E+01	2.86447624E+03
485	6.26613865E+01	2.87973483E+03
486	6.47142616E+01	2.89524279E+03
487	6.68343918E+01	2.91100146E+03
488	6.90239804E+01	2.92701215E+03
489	7.12853030E+01	2.94327614E+03
490	7.36207097E+01	2.95979467E+03
491	7.60326277E+01	2.97656894E+03
492	7.85235635E+01	2.99360014E+03
493	8.10961058E+01	3.01088942E+03
494	8.37529282E+01	3.02843789E+03
495	8.64967919E+01	3.04624665E+03
496	8.93305484E+01	3.06431677E+03
497	9.22571427E+01	3.08264930E+03
498	9.52796164E+01	3.10124526E+03
499	9.84011106E+01	3.12010564E+03
